dim,fs,window,rmse,mape,smape,mae,nrmse,rules
4,40,7884,0.279,0.044,0.021,0.022,0.0,10542
4,40,8541,0.069,0.005,0.002,0.005,0.0,10646
4,40,9198,0.0,0.0,0.0,0.0,0.0,9816
4,40,9855,0.111,0.022,0.011,0.009,0.001,11112
4,40,10512,0.098,0.018,0.009,0.01,0.0,10619
4,40,11169,0.0,0.0,0.0,0.0,0.0,11524
4,40,11826,0.006,0.001,0.0,0.0,0.0,10119
4,40,12483,0.0,0.0,0.0,0.0,0.0,10379
4,40,13140,0.0,0.0,0.0,0.0,0.0,10497
4,40,13797,0.0,0.0,0.0,0.0,0.0,10312
4,40,14454,0.0,0.0,0.0,0.0,0.0,10786
4,40,15111,0.0,0.0,0.0,4.147,0.0,10585
4,40,15768,0.0,0.0,0.0,0.0,0.0,9786
4,40,16425,0.0,0.0,0.0,0.0,0.0,10396
4,40,17082,0.0,0.0,0.0,11.608,0.0,9718
4,40,17739,2.258,0.813,0.368,0.398,0.006,9300
4,40,18396,0.227,0.029,0.014,0.02,0.001,9953
4,40,19053,0.148,0.019,0.01,0.013,0.0,9240
4,50,0,0.009,0.001,0.001,0.001,0.0,11922
4,50,657,0.517,0.071,0.035,0.06,0.001,11481
4,50,1314,0.03,0.004,0.002,0.002,0.0,10684
4,50,1971,0.0,0.0,0.0,0.0,0.0,11969
4,50,2628,0.0,0.0,0.0,0.0,0.0,11470
4,50,3285,0.0,0.0,0.0,0.0,0.0,11899
4,50,3942,0.0,0.0,0.0,0.0,0.0,11848
4,50,4599,0.0,0.0,0.0,0.0,0.0,11804
4,50,5256,0.108,0.008,0.004,0.008,0.0,11941
4,50,5913,0.633,0.498,0.178,11.576,0.001,12274
4,50,6570,0.083,0.022,0.011,0.011,0.0,12534
4,50,7227,0.0,0.0,0.0,0.0,0.0,12132
4,50,7884,0.0,0.0,0.0,0.0,0.0,11824
4,50,8541,0.0,0.0,0.0,0.0,0.0,11546
4,50,9198,0.0,0.0,0.0,0.0,0.0,11710
4,50,9855,0.022,0.004,0.002,0.002,0.0,12484
4,50,10512,0.041,0.006,0.003,0.003,0.0,11570
4,50,11169,0.0,0.0,0.0,0.0,0.0,12861
4,50,11826,0.0,0.0,0.0,0.0,0.0,10870
4,50,12483,0.0,0.0,0.0,0.0,0.0,11669
4,50,13140,0.0,0.0,0.0,0.0,0.0,12112
4,50,13797,0.0,0.0,0.0,0.0,0.0,11621
4,50,14454,0.0,0.0,0.0,0.0,0.0,11783
4,50,15111,0.0,0.0,0.0,4.147,0.0,12250
4,50,15768,0.0,0.0,0.0,0.0,0.0,10853
4,50,16425,0.0,0.0,0.0,0.0,0.0,11189
4,50,17082,0.0,0.0,0.0,11.608,0.0,11234
4,50,17739,1.008,0.431,0.196,0.185,0.003,10989
4,50,18396,0.0,0.0,0.0,0.0,0.0,11604
4,50,19053,0.035,0.005,0.003,0.003,0.0,10652
5,10,0,0.506,0.101,0.05,0.095,0.001,8932
5,10,657,7.671,8.88,3.514,3.289,0.009,8098
5,10,1314,1.09,0.414,0.195,0.227,0.001,6688
5,10,1971,0.297,0.238,0.115,0.059,0.003,7558
5,10,2628,3.507,0.742,0.341,0.652,0.006,8423
5,10,3285,0.921,0.424,0.222,0.228,0.002,7815
5,10,3942,1.316,0.578,0.282,0.439,0.002,8745
5,10,4599,89.948,44.94,5.358,21.772,0.134,7892
5,10,5256,5.74,3.331,1.593,2.029,0.012,8257
5,10,5913,4.384,0.794,0.323,12.137,0.006,8834
5,10,6570,0.681,0.404,0.201,0.261,0.001,9264
5,10,7227,7.973,6.261,2.398,2.524,0.014,8177
5,10,7884,1.771,0.728,0.35,0.388,0.003,8163
5,10,8541,0.678,0.298,0.144,0.154,0.001,7764
